Id,Label,POS_Category,Total_Frequency
moindre,moindre,ADJ,39
plaisanterie,plaisanterie,NOUN,39
simple,simple,ADJ,39
souper,souper,VERB,39
titre,titre,NOUN,39
atelier,atelier,NOUN,38
chagrin,chagrin,NOUN,38
cousin,cousin,NOUN,38
duc,duc,NOUN,38
examiner,examiner,VERB,38
français,français,ADJ,38
genre,genre,NOUN,38
goût,goût,NOUN,38
immense,immense,ADJ,38
ressembler,ressembler,VERB,38
supérieur,supérieur,ADJ,38
époque,époque,NOUN,38
Chrestien,Chrestien,PROPN,37
ajouter,ajouter,VERB,37
bois,bois,NOUN,37
charmant,charmant,ADJ,37
cheval,cheval,NOUN,37
demeurer,demeurer,VERB,37
eau,eau,NOUN,37
empêcher,empêcher,VERB,37
expression,expression,NOUN,37
jeu,jeu,NOUN,37
livrer,livrer,VERB,37
marier,marier,VERB,37
peur,peur,NOUN,37
plume,plume,NOUN,37
prouver,prouver,VERB,37
remettre,remettre,VERB,37
royaliste,royaliste,ADJ,37
spectacle,spectacle,NOUN,37
tour,tour,NOUN,37
triomphe,triomphe,NOUN,37
Lupeaulx,Lupeaulx,PROPN,36
Marsac,Marsac,PROPN,36
Marsay,Marsay,PROPN,36
Nègrepelisse,Nègrepelisse,PROPN,36
boulevard,boulevard,NOUN,36
composer,composer,VERB,36
dette,dette,NOUN,36
engager,engager,VERB,36
impossible,impossible,ADJ,36
proposer,proposer,VERB,36
rentrer,rentrer,VERB,36
saluer,saluer,VERB,36
science,science,NOUN,36
vin,vin,NOUN,36
visage,visage,NOUN,36
Cénacle,Cénacle,PROPN,35
Sénonches,Sénonches,PROPN,35
grandeur,grandeur,NOUN,35
journée,journée,NOUN,35
lit,lit,NOUN,35
poser,poser,VERB,35
raconter,raconter,VERB,35
retrouver,retrouver,VERB,35
sourier,sourier,VERB,35
épouser,épouser,VERB,35
Doublon,Doublon,PROPN,34
attention,attention,NOUN,34
bourgeois,bourgeois,NOUN,34
chemin,chemin,NOUN,34
douleur,douleur,NOUN,34
exister,exister,VERB,34
fabriquer,fabriquer,VERB,34
faute,faute,NOUN,34
former,former,VERB,34
inventer,inventer,VERB,34
luxe,luxe,NOUN,34
meilleur,meilleur,ADJ,34
objet,objet,NOUN,34
prote,prote,NOUN,34
préparer,préparer,VERB,34
présent,présent,NOUN,34
refuser,refuser,VERB,34
route,route,NOUN,34
salle,salle,NOUN,34
sonnet,sonnet,NOUN,34
toilette,toilette,NOUN,34
voyage,voyage,NOUN,34
étonner,étonner,VERB,34
événement,événement,NOUN,34
Marguerites,Marguerites,PROPN,33
Stanislas,Stanislas,PROPN,33
cheveu,cheveu,NOUN,33
comte,comte,NOUN,33
digne,digne,ADJ,33
drôle,drôle,ADJ,33
général,général,NOUN,33
préfet,préfet,NOUN,33
rouge,rouge,ADJ,33
répéter,répéter,VERB,33
soutenir,soutenir,VERB,33
terrible,terrible,ADJ,33
traiter,traiter,VERB,33
tromper,tromper,VERB,33
échapper,échapper,VERB,33
établir,établir,VERB,33
étudier,étudier,VERB,33
Vignon,Vignon,PROPN,32
aspect,aspect,NOUN,32
brevet,brevet,NOUN,32
cas,cas,NOUN,32
dame,dame,NOUN,32
doux,doux,ADJ,32
dévorer,dévorer,VERB,32
entier,entier,ADJ,32
escalier,escalier,NOUN,32
exprimer,exprimer,VERB,32
expérience,expérience,NOUN,32
frapper,frapper,VERB,32
grâce,grâce,NOUN,32
lutte,lutte,NOUN,32
ménage,ménage,NOUN,32
ordre,ordre,NOUN,32
ouvrier,ouvrier,NOUN,32
pareil,pareil,ADJ,32
peindre,peindre,VERB,32
personnage,personnage,NOUN,32
pleurer,pleurer,VERB,32
puissance,puissance,NOUN,32
pur,pur,ADJ,32
semaine,semaine,NOUN,32
sûr,sûr,ADJ,32
vert,vert,ADJ,32
Barbet,Barbet,PROPN,31
Charente,Charente,PROPN,31
Charles,Charles,PROPN,31
atteindre,atteindre,VERB,31
